emp_no,dept_no,,emp_no,vlookup
10408,d007,,69969,#N/A
10409,d005,,207413,#N/A
10410,d007,,224271,#N/A
10412,d004,,277947,#N/A
10412,d009,,94829,#N/A
10413,d003,,202330,#N/A
10414,d005,,431693,#N/A
10417,d007,,212234,#N/A
10424,d005,,261066,#N/A
10425,d004,,414931,#N/A
10426,d005,,452156,10426
10428,d003,,258454,#N/A
10429,d005,,30721,#N/A
10430,d004,,280762,#N/A
10430,d009,,203269,#N/A
10431,d007,,470173,#N/A
10433,d006,,48493,#N/A
10435,d005,,221008,#N/A
10436,d003,,464171,#N/A
10438,d004,,422721,#N/A
10441,d004,,203574,10441
10442,d007,,433368,#N/A
10445,d005,,21904,10445
10446,d005,,264327,#N/A
10451,d004,,20346,10451
10452,d005,,450325,10452
10454,d007,,93049,#N/A
10457,d006,,213241,#N/A
10459,d002,,24584,#N/A
10459,d003,,492691,#N/A
10460,d005,,245630,#N/A
10461,d007,,54684,#N/A
10468,d007,,99806,10468
10469,d005,,468996,#N/A
10469,d008,,266323,#N/A
10470,d004,,243011,#N/A
10471,d006,,266416,#N/A
10474,d004,,459802,#N/A
10478,d005,,227022,#N/A
10478,d009,,488141,#N/A
10479,d004,,241516,#N/A
10480,d002,,96188,10480
10482,d005,,238397,#N/A
10485,d005,,44829,10485
10488,d005,,268741,10488
10488,d008,,43541,10488
10491,d001,,451999,#N/A
10493,d007,,233133,#N/A
10495,d004,,477239,10495
10497,d004,,39795,#N/A
10498,d004,,241222,10498
10499,d001,,241860,#N/A
10499,d007,,292417,#N/A
10500,d005,,203212,#N/A
10501,d005,,433289,#N/A
10502,d006,,424683,#N/A
10503,d004,,44746,#N/A
10504,d007,,79473,#N/A
10505,d007,,452075,#N/A
10508,d004,,208110,#N/A
10511,d004,,217003,#N/A
10513,d002,,277065,10513
10514,d008,,411456,10514
10518,d005,,221838,#N/A
10519,d005,,495111,#N/A
10519,d008,,425850,#N/A
10521,d007,,410482,#N/A
10522,d003,,200410,10522
10526,d004,,412999,#N/A
10527,d005,,55486,#N/A
10528,d005,,425615,10528
10530,d005,,467756,#N/A
10538,d004,,453613,10538
10538,d005,,413788,10538
10539,d007,,417141,#N/A
10541,d007,,71266,#N/A
10542,d005,,273206,#N/A
10543,d002,,211689,10543
10546,d008,,38211,10546
10548,d001,,438086,10548
10548,d007,,241260,10548
10549,d005,,233753,10549
10552,d004,,204199,#N/A
10553,d005,,88920,10553
10558,d004,,429874,#N/A
10561,d007,,434080,10561
10563,d005,,448744,#N/A
10564,d004,,412003,10564
10569,d008,,410290,#N/A
10573,d007,,410445,#N/A
10574,d003,,66497,#N/A
10575,d004,,287080,#N/A
10577,d004,,33206,10577
10577,d008,,73401,10577
10578,d005,,36193,#N/A
10580,d009,,477276,10580
10581,d004,,449690,#N/A
10583,d004,,412622,#N/A
10584,d005,,439571,#N/A
10585,d005,,417160,#N/A
10585,d008,,284476,#N/A
10586,d004,,298209,#N/A
10588,d004,,259983,#N/A
10589,d002,,241795,10589
10590,d008,,492062,10590
10591,d001,,229944,#N/A
10593,d004,,231885,10593
10593,d005,,94926,10593
10595,d004,,210425,#N/A
10597,d007,,203982,#N/A
10598,d004,,19967,#N/A
10600,d007,,205850,#N/A
10601,d009,,273452,10601
10603,d007,,206757,#N/A
10604,d004,,200052,#N/A
10604,d005,,499215,#N/A
10605,d006,,498932,#N/A
10607,d005,,260484,#N/A
10609,d005,,424392,#N/A
10610,d005,,105209,#N/A
10611,d005,,267478,10611
10613,d003,,273024,#N/A
10614,d004,,10323,10614
10614,d009,,468069,10614
10616,d007,,211191,#N/A
10617,d009,,420646,10617
10618,d004,,257373,10618
10619,d007,,471117,#N/A
10621,d005,,285303,#N/A
10624,d004,,17417,10624
10625,d005,,489271,10625
10627,d003,,230268,#N/A
10628,d005,,230787,#N/A
10629,d007,,254914,#N/A
10630,d004,,232896,#N/A
10631,d005,,208615,#N/A
10633,d007,,16747,10633
10634,d005,,433634,#N/A
10634,d008,,103589,#N/A
10635,d004,,226582,#N/A
10636,d003,,299441,#N/A
10638,d007,,109409,#N/A
10639,d005,,27679,10639
10641,d005,,77989,#N/A
10642,d005,,224603,#N/A
10643,d005,,104705,10643
10644,d002,,105633,#N/A
10644,d007,,204422,#N/A
10645,d004,,490116,#N/A
10647,d004,,68169,10647
10650,d005,,102473,#N/A
10652,d008,,407712,#N/A
10657,d002,,436092,#N/A
10658,d001,,440619,10658
10662,d004,,28846,#N/A
10663,d004,,216275,#N/A
10663,d005,,408197,#N/A
10665,d005,,463449,#N/A
10666,d002,,215466,#N/A
10667,d009,,269599,#N/A
10670,d007,,250200,#N/A
10672,d004,,481981,10672
10673,d005,,452648,#N/A
10673,d008,,205030,#N/A
10676,d005,,261010,10676
10677,d005,,104298,#N/A
10678,d005,,476074,10678
10680,d005,,473571,#N/A
10682,d009,,480074,10682
10683,d004,,226657,10683
10685,d002,,36447,#N/A
10688,d002,,224939,10688
10690,d004,,428094,#N/A
10690,d005,,460010,#N/A
10691,d005,,459526,#N/A
10693,d009,,28502,#N/A
10694,d001,,25058,#N/A
10696,d005,,99880,#N/A
10698,d005,,468130,#N/A
10699,d006,,84117,#N/A
10700,d005,,243221,#N/A
10701,d007,,22305,10701
10701,d009,,84168,10701
10703,d004,,472290,#N/A
10705,d007,,427886,#N/A
10706,d004,,16276,#N/A
10707,d005,,467517,#N/A
10708,d008,,35966,#N/A
10709,d005,,96325,#N/A
10709,d008,,59699,#N/A
10712,d005,,457733,#N/A
10714,d005,,65915,10714
10715,d004,,448922,#N/A
10717,d003,,54259,10717
10718,d005,,457756,10718
10720,d004,,204172,10720
10720,d008,,40363,10720
10722,d001,,435255,10722
10723,d004,,85549,#N/A
10727,d002,,472169,#N/A
10728,d006,,28336,#N/A
10735,d009,,282412,10735
10736,d006,,36622,#N/A
10738,d005,,87589,#N/A
10738,d008,,33270,#N/A
10739,d005,,76902,#N/A
10740,d005,,430968,10740
10741,d001,,292505,#N/A
10742,d005,,254823,#N/A
10743,d002,,494518,#N/A
10745,d004,,240460,10745
10746,d005,,227970,10746
10748,d002,,241688,#N/A
10748,d003,,445150,#N/A
10752,d006,,423381,#N/A
10753,d004,,228384,#N/A
10754,d007,,77705,#N/A
10755,d005,,215367,#N/A
10756,d004,,10098,#N/A
10756,d005,,209907,#N/A
10758,d004,,290513,10758
10759,d004,,448579,#N/A
10762,d008,,26663,#N/A
10765,d001,,30861,10765
10765,d007,,38588,10765
10769,d005,,423170,#N/A
10770,d007,,481764,10770
10772,d005,,298033,#N/A
10775,d004,,411230,10775
10775,d009,,406838,10775
10776,d005,,453063,#N/A
10778,d001,,280586,#N/A
10782,d008,,268053,#N/A
10783,d003,,209232,#N/A
10785,d006,,56436,#N/A
10786,d004,,13681,#N/A
10786,d006,,421367,#N/A
10788,d007,,242706,10788
10790,d004,,430954,#N/A
10791,d005,,493160,#N/A
10793,d005,,62151,#N/A
10794,d008,,415730,#N/A
10795,d007,,97678,#N/A
10797,d004,,95175,#N/A
10797,d005,,471436,#N/A
10799,d005,,454999,#N/A
10801,d004,,452303,#N/A
10804,d007,,217982,#N/A
10811,d004,,82381,#N/A
10812,d004,,299472,#N/A
10813,d007,,423973,10813
10814,d007,,32303,#N/A
10815,d003,,455549,10815
10816,d009,,258611,#N/A
10819,d004,,101298,#N/A
10820,d001,,227057,#N/A
10821,d005,,58824,#N/A
10822,d005,,426538,#N/A
10823,d003,,404630,10823
10824,d001,,232004,#N/A
10825,d004,,60048,#N/A
10825,d005,,222444,#N/A
10826,d005,,235864,10826
10827,d002,,473422,#N/A
10828,d007,,494019,#N/A
10829,d003,,208901,#N/A
10830,d001,,93824,#N/A
10831,d005,,252166,#N/A
10832,d007,,254452,#N/A
10833,d006,,72217,#N/A
10837,d007,,55910,#N/A
10840,d004,,249074,#N/A
10842,d005,,66846,#N/A
10845,d005,,62003,10845
10847,d008,,42881,#N/A
10849,d005,,435268,#N/A
10850,d002,,448382,10850
10851,d008,,66125,#N/A
10852,d004,,21059,#N/A
10854,d005,,240893,#N/A
10856,d009,,64494,10856
10862,d007,,28496,10862
10863,d004,,233368,10863
10865,d007,,259704,10865
10865,d009,,257138,10865
10868,d004,,265417,#N/A
10869,d009,,226411,#N/A
10873,d002,,216540,#N/A
10879,d005,,64858,#N/A
10880,d004,,297335,#N/A
10882,d005,,252390,#N/A
10884,d005,,497992,10884
10885,d001,,60629,#N/A
10885,d007,,294679,#N/A
10886,d005,,494551,10886
10887,d005,,299590,10887
10889,d007,,207884,#N/A
10891,d005,,232530,10891
10893,d001,,414696,#N/A
10894,d004,,98632,#N/A
10895,d007,,490374,#N/A
10895,d009,,31270,#N/A
10899,d001,,246540,10899
10901,d002,,208607,#N/A
10902,d005,,50787,10902
10906,d002,,24452,#N/A
10906,d007,,491988,#N/A
10908,d003,,200095,#N/A
10911,d004,,231755,#N/A
10912,d002,,430534,#N/A
10915,d004,,287285,#N/A
10918,d002,,59909,#N/A
10919,d001,,483752,10919
10920,d003,,260780,#N/A
10922,d007,,479596,10922
10923,d007,,94198,#N/A
10924,d007,,103445,#N/A
10925,d004,,404994,#N/A
10926,d004,,263111,#N/A
10926,d009,,499225,#N/A
10927,d001,,73203,#N/A
10928,d001,,41857,#N/A
10929,d001,,97337,10929
10930,d004,,444520,#N/A
10931,d004,,255713,10931
10932,d005,,474026,#N/A
10933,d004,,428879,#N/A
10934,d002,,108157,#N/A
10935,d002,,284663,10935
10939,d006,,230701,#N/A
10940,d005,,32727,#N/A
10942,d005,,456157,#N/A
10944,d004,,499615,#N/A
10948,d005,,251038,10948
10948,d008,,18551,10948
10949,d002,,31605,#N/A
10951,d002,,247063,#N/A
10952,d005,,499346,#N/A
10955,d007,,201597,#N/A
10956,d004,,422105,#N/A
10956,d005,,15482,#N/A
10960,d007,,48996,#N/A
10961,d005,,104205,#N/A
10965,d007,,244878,#N/A
10967,d005,,234360,#N/A
10968,d007,,34704,10968
10969,d005,,458456,#N/A
10972,d005,,201176,#N/A
10973,d005,,220180,#N/A
10976,d004,,25755,#N/A
10977,d007,,23003,#N/A
10978,d004,,10826,#N/A
10980,d005,,15284,#N/A
10981,d007,,53152,10981
10983,d004,,282839,#N/A
10984,d004,,297465,#N/A
10991,d005,,482537,#N/A
10993,d006,,417052,#N/A
10994,d004,,272961,#N/A
10994,d005,,11885,#N/A
10996,d007,,23386,10996
10997,d004,,400499,10997
11002,d007,,288428,#N/A
11003,d005,,430167,#N/A
11004,d004,,255422,#N/A
11004,d006,,82228,#N/A
11005,d005,,218813,#N/A
11007,d005,,264833,#N/A
11008,d007,,56245,#N/A
11011,d005,,426872,#N/A
11013,d005,,36697,11013
11014,d003,,204827,#N/A
11016,d005,,297792,#N/A
11017,d005,,406763,11017
11019,d005,,219583,#N/A
11020,d005,,107446,#N/A
11021,d008,,261609,#N/A
11022,d007,,77231,11022
11022,d009,,433928,11022
11024,d007,,431890,#N/A
11025,d003,,449958,#N/A
11028,d004,,258138,#N/A
11029,d007,,29420,#N/A
11031,d001,,266769,11031
11032,d005,,249489,11032
11032,d009,,97407,11032
11034,d009,,489052,#N/A
11036,d002,,247626,#N/A
11037,d004,,13674,#N/A
11038,d008,,407316,#N/A
11040,d003,,99263,11040
11041,d004,,75164,#N/A
11041,d006,,275695,#N/A
11043,d005,,38055,11043
11044,d007,,54767,#N/A
11045,d004,,96947,#N/A
11046,d002,,261093,#N/A
11047,d009,,104876,11047
11050,d001,,437364,#N/A
11051,d004,,224417,11051
11052,d004,,205484,11052
11052,d009,,423658,11052
11054,d006,,237226,11054
11057,d007,,78793,#N/A
11060,d007,,13203,#N/A
11062,d004,,212878,11062
11063,d003,,35948,#N/A
11064,d004,,16582,#N/A
11066,d002,,272755,#N/A
11068,d008,,450292,#N/A
11069,d004,,478663,#N/A
11070,d006,,215235,11070
11071,d005,,261244,#N/A
11073,d005,,66091,11073
11074,d009,,30152,11074
11075,d004,,271548,#N/A
11077,d009,,481279,11077
11080,d006,,405046,#N/A
11081,d002,,474052,#N/A
11082,d005,,469053,#N/A
11084,d004,,240757,11084
11088,d005,,292399,#N/A
11089,d007,,31315,11089
11090,d004,,460900,#N/A
11091,d004,,71123,#N/A
11092,d001,,494470,11092
11092,d007,,109419,11092
11093,d005,,73177,#N/A
11094,d009,,267630,11094
11095,d009,,270631,#N/A
11096,d004,,14256,11096
11097,d007,,432700,11097
11098,d005,,48443,#N/A
11100,d008,,210875,#N/A
11101,d005,,425730,#N/A
11102,d007,,257403,11102
11102,d009,,33691,11102
11103,d005,,278835,#N/A
11104,d005,,57697,11104
11105,d004,,290503,#N/A
11107,d006,,416575,#N/A
11111,d004,,277073,#N/A
11113,d001,,466998,#N/A
11114,d008,,25477,#N/A
11115,d004,,239143,#N/A
11117,d004,,37423,11117
11118,d003,,37276,#N/A
11120,d007,,290203,#N/A
11120,d009,,106620,#N/A
11121,d005,,47907,#N/A
11122,d002,,429073,#N/A
11124,d007,,269547,#N/A
11125,d005,,98647,#N/A
11126,d008,,255799,#N/A
11128,d004,,53047,11128
11131,d004,,34457,#N/A
11133,d006,,468201,11133
11134,d006,,75727,#N/A
11135,d009,,16514,11135
11136,d005,,258891,11136
11137,d005,,420163,#N/A
11141,d005,,204833,#N/A
11142,d005,,450482,#N/A
11143,d005,,106982,#N/A
11144,d007,,54873,#N/A
11145,d004,,76146,#N/A
11146,d007,,272778,#N/A
11149,d007,,296003,#N/A
11150,d007,,490958,#N/A
11151,d005,,468545,#N/A
11152,d004,,221345,#N/A
11153,d002,,258420,#N/A
11155,d007,,58730,#N/A
11156,d005,,204125,#N/A
11156,d008,,454314,#N/A
11158,d004,,238668,#N/A
11160,d005,,102700,11160
11161,d004,,69073,#N/A
11162,d005,,54728,#N/A
11163,d007,,41260,#N/A
11164,d002,,274736,11164
11164,d007,,442684,11164
11165,d004,,46924,#N/A
11166,d003,,46055,#N/A
11170,d005,,495449,#N/A
11176,d004,,207806,#N/A
11179,d006,,251611,#N/A
11182,d004,,81013,#N/A
11182,d005,,77846,#N/A
11183,d005,,254281,#N/A
11184,d008,,240160,#N/A
11186,d004,,488244,#N/A
11187,d005,,225172,11187
11188,d004,,103110,#N/A
11189,d007,,42572,#N/A
11191,d001,,62161,11191
11192,d006,,76098,#N/A
11193,d003,,44320,#N/A
11195,d004,,238812,#N/A
11196,d005,,261794,#N/A
11197,d007,,402419,#N/A
11198,d007,,42274,#N/A
11200,d005,,466968,#N/A
11203,d002,,268674,#N/A
11206,d007,,244804,#N/A
11207,d005,,43648,#N/A
11208,d004,,250065,#N/A
11210,d003,,446623,11210
11212,d007,,207955,11212
11213,d004,,216283,11213
11214,d007,,438089,#N/A
11215,d006,,217885,11215
11217,d004,,51532,#N/A
11218,d006,,201822,#N/A
11220,d008,,101025,#N/A
11224,d009,,277453,#N/A
11225,d004,,461899,#N/A
11227,d003,,207160,11227
11229,d004,,39172,11229
11229,d006,,290348,11229
11230,d005,,59155,11230
11231,d003,,406849,#N/A
11232,d009,,23810,#N/A
11234,d004,,435530,#N/A
11239,d007,,297723,11239
11240,d005,,412579,11240
11241,d007,,262914,#N/A
11242,d004,,288930,#N/A
11243,d004,,91959,#N/A
11244,d009,,212125,11244
11246,d004,,498034,11246
11246,d005,,462835,11246
11247,d003,,107161,#N/A
11248,d007,,430346,#N/A
11250,d004,,249878,#N/A
11252,d005,,221176,11252
11253,d005,,28327,#N/A
11254,d007,,402902,#N/A
11255,d005,,84549,#N/A
11259,d007,,88569,#N/A
11261,d004,,267457,#N/A
11262,d001,,448160,#N/A
11263,d004,,37643,11263
11264,d005,,65090,11264
11265,d009,,277572,#N/A
11267,d005,,55378,#N/A
11267,d008,,79979,#N/A
11268,d004,,88561,#N/A
11270,d008,,407265,#N/A
11272,d007,,97245,#N/A
11273,d002,,24684,#N/A
11274,d009,,55127,#N/A
11278,d009,,249097,11278
11280,d009,,44727,#N/A
11281,d008,,67731,#N/A
11282,d007,,426768,#N/A
11283,d002,,57740,#N/A
11285,d002,,464322,#N/A
11286,d007,,237875,#N/A
11290,d005,,263221,#N/A
11294,d005,,270047,#N/A
11295,d002,,280148,#N/A
11299,d004,,95531,#N/A
11300,d005,,84704,#N/A
11301,d003,,446376,11301
11305,d009,,258544,#N/A
11306,d007,,441051,#N/A
11309,d002,,414867,11309
11313,d001,,83597,#N/A
11316,d005,,489096,#N/A
11317,d005,,246455,#N/A
11317,d008,,472430,#N/A
11318,d007,,415445,11318
11319,d005,,101386,#N/A
11320,d001,,464213,#N/A
11322,d006,,57588,11322
11323,d005,,232006,11323
11326,d005,,434648,#N/A
11327,d004,,400340,#N/A
11327,d009,,467087,#N/A
11328,d007,,434135,#N/A
11329,d007,,101514,#N/A
11333,d005,,421414,#N/A
11335,d005,,201594,#N/A
11335,d009,,229228,#N/A
11338,d007,,98744,11338
11339,d004,,259352,#N/A
11340,d004,,71610,#N/A
11342,d009,,39227,#N/A
11345,d005,,273372,#N/A
11348,d003,,254824,#N/A
11349,d004,,450288,#N/A
11352,d004,,109066,#N/A
11352,d009,,240325,#N/A
11353,d007,,434252,#N/A
11355,d004,,408718,#N/A
11359,d007,,47627,#N/A
11360,d007,,419898,11360
11361,d004,,259003,11361
11361,d009,,466515,11361
11363,d002,,10902,11363
11364,d005,,24487,11364
11365,d004,,58534,11365
11366,d005,,454221,#N/A
11367,d002,,89616,11367
11368,d005,,261654,11368
11374,d006,,470051,11374
11376,d008,,413315,11376
11377,d007,,477220,#N/A
11381,d002,,288274,#N/A
11382,d005,,483268,#N/A
11383,d003,,459235,#N/A
11387,d004,,21992,11387
11388,d004,,97311,11388
11390,d004,,450192,11390
11393,d004,,475952,#N/A
11394,d009,,25470,11394
11397,d005,,464370,#N/A
11398,d002,,101375,11398
11402,d007,,271698,#N/A
11403,d002,,244205,11403
11404,d005,,106534,#N/A
11407,d009,,47335,#N/A
11408,d008,,426593,#N/A
11410,d005,,421333,#N/A
11411,d009,,261192,11411
11415,d004,,432538,#N/A
11416,d003,,103221,#N/A
11417,d006,,87578,#N/A
11418,d001,,471471,#N/A
11418,d003,,469384,#N/A
11419,d005,,212185,11419
11420,d003,,100179,#N/A
11421,d004,,246249,11421
11423,d009,,484582,#N/A
11424,d009,,477975,#N/A
11425,d005,,209012,#N/A
11429,d007,,58957,#N/A
11430,d007,,435335,#N/A
11434,d009,,438101,11434
11435,d001,,268911,#N/A
11436,d002,,32474,#N/A
11436,d003,,95486,#N/A
11437,d009,,455977,#N/A
11439,d004,,209909,#N/A
11440,d005,,277918,#N/A
11441,d007,,33736,11441
11446,d005,,432372,#N/A
11446,d006,,18231,#N/A
11448,d005,,24480,11448
11451,d004,,53896,#N/A
11452,d009,,476138,#N/A
11453,d004,,485055,#N/A
11454,d006,,254616,#N/A
11463,d009,,402081,#N/A
11465,d005,,440724,#N/A
11465,d008,,233337,#N/A
11466,d004,,85604,#N/A
11468,d007,,234989,#N/A
11469,d004,,467121,#N/A
11471,d004,,44370,11471
11472,d007,,47432,#N/A
11474,d004,,209944,#N/A
11474,d006,,485435,#N/A
11476,d001,,450692,#N/A
11477,d004,,237687,#N/A
11478,d007,,93168,#N/A
11481,d003,,478608,#N/A
11485,d004,,201917,11485
11486,d007,,109509,#N/A
11488,d006,,259690,#N/A
11489,d001,,433537,#N/A
11493,d007,,75048,#N/A
11494,d004,,454869,#N/A
11494,d009,,475124,#N/A
11495,d007,,234451,#N/A
11496,d004,,286738,#N/A
11497,d006,,202743,#N/A
11498,d004,,489399,11498
11502,d005,,475631,11502
11503,d005,,106787,#N/A
11505,d004,,96657,11505
11505,d006,,35611,11505
11507,d004,,232763,#N/A
11508,d004,,102241,#N/A
11509,d005,,48622,#N/A
11511,d004,,498165,#N/A
11512,d005,,484060,#N/A
11513,d002,,93609,#N/A
11514,d004,,70859,#N/A
11515,d007,,229788,11515
11516,d005,,454876,11516
11516,d008,,98691,11516
11517,d001,,96017,11517
11521,d007,,415636,#N/A
11523,d005,,81482,#N/A
11524,d005,,490807,#N/A
11527,d001,,266721,#N/A
11528,d004,,475921,11528
11529,d004,,490514,#N/A
11536,d004,,202720,#N/A
11537,d007,,292210,#N/A
11538,d004,,264425,#N/A
11539,d001,,90321,11539
11541,d009,,459501,#N/A
11545,d006,,264481,#N/A
11546,d007,,217466,#N/A
11547,d007,,486076,11547
11549,d004,,490382,11549
11550,d004,,15106,11550
11555,d003,,463559,#N/A
11558,d004,,22892,11558
11559,d006,,255616,#N/A
11562,d004,,433458,#N/A
11563,d009,,109975,#N/A
11565,d005,,27760,#N/A
11566,d004,,29461,#N/A
11567,d007,,285416,#N/A
11569,d005,,241380,#N/A
11570,d001,,247609,#N/A
11571,d004,,85168,11571
11574,d006,,50732,#N/A
11575,d005,,251885,11575
11579,d007,,211796,#N/A
11582,d004,,59863,11582
11582,d008,,20468,11582
11583,d004,,478475,#N/A
11588,d003,,90571,11588
11589,d005,,53827,#N/A
11590,d005,,449004,#N/A
11591,d004,,487665,#N/A
11591,d008,,60802,#N/A
11592,d005,,496490,#N/A
11593,d006,,279293,11593
11594,d007,,47148,11594
11595,d001,,60075,#N/A
11600,d004,,84369,#N/A
11601,d007,,257908,#N/A
11601,d009,,21109,#N/A
